Product.Description,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020
Product A,1370,1528,1101,738,1229,1451,879,1505,1375,1146,1325,1156,1081,1258,894,700,1289,1207,926,1476,1254,1111,1175,881,916,1225,682,739,1056,1117,727,1233,839,862,862,702,740,934,603,468,903
Product B,461,812,796,1010,904,721,665,537,1275,589,538,704,379,1302,1741,1098,939,764,1413,781,950,1007,534,570,567,1353,1212,1122,1135,1261,1046,931,695,849,644,635,1753,1506,1826,1618,1382
Product C,765,927,1412,717,800,906,596,713,642,695,577,741,677,783,1400,620,693,713,618,536,610,596,544,1281,882,3304,738,722,657,841,629,683,543,680,538,777,633,750,578,683,704
Product D,,,,,,96,55,106,47,35,15,48,19,46,19,39,53,51,52,59,51,56,50,97,79,97,65,97,73,108,106,96,93,122,88,124,130,187,136,141,132
Product E,4496,5681,3838,5385,5150,6203,4827,5695,5758,3147,3929,4781,5675,5816,5097,5100,5126,6456,6129,5303,6083,4861,2370,5649,6551,5800,4791,6390,6570,6569,5980,6135,5581,5405,2380,8031,6108,6079,4702,6828,5717
Product F,1623,1522,2306,1416,2214,2538,1841,1982,2749,1929,626,1280,1215,2693,1564,1936,1949,1923,1810,2187,2296,1671,1049,1229,1880,2041,1935,1617,1821,1940,1905,1699,2255,1853,522,1682,2261,1523,3210,1764,2230
